Held-out pass rate per steering method (✓ marks the best method per row).
Pass = judge_rating 5/5 and fluency 2/2 and relevance 2/2.

DATASET     MODEL  LAST     MEAN     POSITIONAL
----------  -----  -------  -------  ----------
harmful     llama  0.400    0.505    0.535 ✓
harmful     olmo   0.500    0.675    0.805 ✓
harmful     qwen3  0.685    0.655    0.785 ✓

sycophancy  llama  0.780    0.715    0.880 ✓
sycophancy  olmo   0.365    0.495    0.505 ✓
sycophancy  qwen3  0.770    0.945 ✓  0.845

verse       llama  0.690    0.610    0.865 ✓
verse       olmo   0.110    0.305    0.920 ✓
verse       qwen3  0.695    0.990 ✓  0.975
