model,source,base,dataset,N,topk,steering_type,steering_pos,rf_type,pass_rate
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,last-token,all-tokens,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,last-token,all-tokens,wo_rf,0.02
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,last-token,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,last-token,last-token,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,mean,all-tokens,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,mean,all-tokens,wo_rf,0.02
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,mean,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,mean,last-token,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,positional,all-tokens,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,positional,all-tokens,wo_rf,0.02
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,last-token,all-tokens,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,last-token,all-tokens,wo_rf,0.38
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,last-token,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,last-token,last-token,wo_rf,0.06
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,mean,all-tokens,w_rf,0.02
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,mean,all-tokens,wo_rf,0.48
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,mean,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,mean,last-token,wo_rf,0.1
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,positional,all-tokens,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,positional,all-tokens,wo_rf,0.36
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.1,last-token,all-tokens,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.1,last-token,all-tokens,wo_rf,0.36
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.1,last-token,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.1,last-token,last-token,wo_rf,0.04
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.1,mean,all-tokens,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.1,mean,all-tokens,wo_rf,0.38
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.1,mean,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.1,mean,last-token,wo_rf,0.06
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.1,positional,all-tokens,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.1,positional,all-tokens,wo_rf,0.26
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.5,last-token,all-tokens,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.5,last-token,all-tokens,wo_rf,0.9
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.5,last-token,last-token,w_rf,0.02
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.5,last-token,last-token,wo_rf,0.66
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.5,mean,all-tokens,w_rf,0.02
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.5,mean,all-tokens,wo_rf,1.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.5,mean,last-token,w_rf,0.02
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.5,mean,last-token,wo_rf,0.78
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.5,positional,all-tokens,w_rf,0.04
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,2,0.5,positional,all-tokens,wo_rf,0.92
